Station Name,model and version,XL2 S/N
Station,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911369
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
FlowAV_vel,Modbus,1.000000,0.000000,Off
FlowAV_leve,Modbus,1.000000,0.000000,Off
01/15/2021 12:17:00,SamplePacin,15,gal,G
01/15/2021 12:17:00,BottleNum,2,,G
01/15/2021 12:17:00,Incr_Flow,NAN,gal,B
01/15/2021 12:17:00,FlowAV_vel,2.451,fps,G
01/15/2021 12:17:00,FlowAV_leve,1.62,in,G
01/15/2021 12:18:00,SamplePacin,15,gal,G
01/15/2021 12:18:00,BottleNum,2,,G
01/15/2021 12:19:00,SamplePacin,15,gal,G
01/15/2021 12:19:00,BottleNum,2,,G
01/15/2021 12:20:00,SamplePacin,15,gal,G
01/15/2021 12:20:00,BottleNum,2,,G
01/15/2021 12:20:00,AliquotNum,0,ali,G
01/15/2021 12:20:00,Level_950,0.24,in,G
01/15/2021 12:20:00,Flow_950,0.000,gpm,G
01/15/2021 12:20:00,Vel_950,3.12,fps,G
01/15/2021 12:18:00,Incr_Flow,0.00,gal,G
01/15/2021 12:20:00,Incr_Flow,0.00,gal,G
01/15/2021 12:20:00,FlowAV_vel,2.355,fps,G
01/15/2021 12:20:00,FlowAV_leve,1.86,in,G
01/15/2021 12:21:00,SamplePacin,15,gal,G
01/15/2021 12:21:00,BottleNum,2,,G
01/15/2021 12:21:00,Incr_Flow,0.00,gal,G
01/15/2021 12:22:00,SamplePacin,15,gal,G
01/15/2021 12:22:00,BottleNum,2,,G
01/15/2021 12:22:00,Incr_Flow,0.00,gal,G
01/15/2021 12:23:00,SamplePacin,15,gal,G
01/15/2021 12:23:00,BottleNum,2,,G
01/15/2021 12:23:00,Incr_Flow,0.00,gal,G
01/15/2021 12:24:00,SamplePacin,15,gal,G
01/15/2021 12:24:00,BottleNum,2,,G
01/15/2021 12:24:00,Incr_Flow,0.00,gal,G
01/15/2021 12:25:00,SamplePacin,15,gal,G
01/15/2021 12:25:00,BottleNum,2,,G
01/15/2021 12:25:00,AliquotNum,0,ali,G
01/15/2021 12:25:00,Level_950,0.28,in,G
01/15/2021 12:25:00,Flow_950,0.000,gpm,G
01/15/2021 12:25:00,Incr_Flow,0.00,gal,G
01/15/2021 12:25:00,Vel_950,3.10,fps,G
01/15/2021 12:25:00,FlowAV_vel,2.921,fps,G
01/15/2021 12:25:00,FlowAV_leve,1.89,in,G
01/15/2021 12:26:00,SamplePacin,15,gal,G
01/15/2021 12:26:00,BottleNum,2,,G
01/15/2021 12:26:00,Incr_Flow,0.00,gal,G
01/15/2021 12:27:00,SamplePacin,15,gal,G
01/15/2021 12:27:00,BottleNum,2,,G
01/15/2021 12:27:00,Incr_Flow,0.00,gal,G
01/15/2021 12:28:00,SamplePacin,15,gal,G
01/15/2021 12:28:00,BottleNum,2,,G
01/15/2021 12:28:00,Incr_Flow,0.00,gal,G
01/15/2021 12:29:00,SamplePacin,15,gal,G
01/15/2021 12:29:00,BottleNum,2,,G
01/15/2021 12:29:00,Incr_Flow,0.00,gal,G
01/15/2021 12:30:00,SamplePacin,15,gal,G
01/15/2021 12:30:00,BottleNum,2,,G
01/15/2021 12:30:00,AliquotNum,0,ali,G
01/15/2021 12:30:00,Level_950,0.28,in,G
01/15/2021 12:30:00,Flow_950,0.000,gpm,G
01/15/2021 12:30:00,Incr_Flow,0.00,gal,G
01/15/2021 12:30:00,Vel_950,3.10,fps,G
01/15/2021 12:30:00,FlowAV_vel,2.753,fps,G
01/15/2021 12:30:00,FlowAV_leve,1.95,in,G
01/15/2021 12:31:00,SamplePacin,15,gal,G
01/15/2021 12:31:00,BottleNum,2,,G
01/15/2021 12:31:00,Incr_Flow,0.00,gal,G
01/15/2021 12:32:00,SamplePacin,15,gal,G
01/15/2021 12:32:00,BottleNum,2,,G
01/15/2021 12:32:00,Incr_Flow,0.00,gal,G
01/15/2021 12:33:00,SamplePacin,15,gal,G
01/15/2021 12:33:00,BottleNum,2,,G
01/15/2021 12:33:00,Incr_Flow,0.00,gal,G
01/15/2021 12:34:00,SamplePacin,15,gal,G
01/15/2021 12:34:00,BottleNum,2,,G
01/15/2021 12:34:00,Incr_Flow,0.00,gal,G
01/15/2021 12:35:00,SamplePacin,15,gal,G
01/15/2021 12:35:00,BottleNum,2,,G
01/15/2021 12:35:00,AliquotNum,0,ali,G
01/15/2021 12:35:00,Level_950,0.28,in,G
01/15/2021 12:35:00,Flow_950,0.000,gpm,G
01/15/2021 12:35:00,Incr_Flow,0.00,gal,G
01/15/2021 12:35:00,Vel_950,3.10,fps,G
01/15/2021 12:35:00,FlowAV_vel,2.786,fps,G
01/15/2021 12:35:00,FlowAV_leve,1.87,in,G
01/15/2021 12:36:00,SamplePacin,15,gal,G
