Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911368
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/09/2020,00:00:00,3.44,G
Flow_cfs,03/09/2020,00:00:00,26.40,G
Aliquot_Num,03/09/2020,00:00:00,0,G
FlowVolume,03/09/2020,00:00:00,0.00,G
PT Level,03/09/2020,00:05:00,3.45,G
Flow_cfs,03/09/2020,00:05:00,26.50,G
Aliquot_Num,03/09/2020,00:05:00,0,G
FlowVolume,03/09/2020,00:05:00,0.00,G
PT Level,03/09/2020,00:10:00,3.44,G
Aliquot_Num,03/09/2020,00:10:00,0,G
Flow_cfs,03/09/2020,00:10:00,26.40,G
FlowVolume,03/09/2020,00:10:00,0.00,G
PT Level,03/09/2020,00:15:00,3.44,G
Flow_cfs,03/09/2020,00:15:00,26.40,G
Aliquot_Num,03/09/2020,00:15:00,0,G
FlowVolume,03/09/2020,00:15:00,0.00,G
PT Level,03/09/2020,00:20:00,3.43,G
Flow_cfs,03/09/2020,00:20:00,26.30,G
Aliquot_Num,03/09/2020,00:20:00,0,G
FlowVolume,03/09/2020,00:20:00,0.00,G
PT Level,03/09/2020,00:25:00,3.45,G
Flow_cfs,03/09/2020,00:25:00,26.50,G
Aliquot_Num,03/09/2020,00:25:00,0,G
FlowVolume,03/09/2020,00:25:00,0.00,G
PT Level,03/09/2020,00:30:00,3.44,G
Flow_cfs,03/09/2020,00:30:00,26.40,G
Aliquot_Num,03/09/2020,00:30:00,0,G
FlowVolume,03/09/2020,00:30:00,0.00,G
PT Level,03/09/2020,00:35:00,3.43,G
Flow_cfs,03/09/2020,00:35:00,26.30,G
Aliquot_Num,03/09/2020,00:35:00,0,G
FlowVolume,03/09/2020,00:35:00,0.00,G
PT Level,03/09/2020,00:40:00,3.44,G
Flow_cfs,03/09/2020,00:40:00,26.40,G
Aliquot_Num,03/09/2020,00:40:00,0,G
FlowVolume,03/09/2020,00:40:00,0.00,G
PT Level,03/09/2020,00:45:00,3.44,G
Aliquot_Num,03/09/2020,00:45:00,0,G
Flow_cfs,03/09/2020,00:45:00,26.40,G
FlowVolume,03/09/2020,00:45:00,0.00,G
PT Level,03/09/2020,00:50:00,3.44,G
Flow_cfs,03/09/2020,00:50:00,26.40,G
Aliquot_Num,03/09/2020,00:50:00,0,G
FlowVolume,03/09/2020,00:50:00,0.00,G
PT Level,03/09/2020,00:55:00,3.45,G
Flow_cfs,03/09/2020,00:55:00,26.50,G
Aliquot_Num,03/09/2020,00:55:00,0,G
FlowVolume,03/09/2020,00:55:00,0.00,G
PT Level,03/09/2020,01:00:00,3.45,G
Aliquot_Num,03/09/2020,01:00:00,0,G
Flow_cfs,03/09/2020,01:00:00,26.50,G
FlowVolume,03/09/2020,01:00:00,0.00,G
PT Level,03/09/2020,01:05:00,3.47,G
Flow_cfs,03/09/2020,01:05:00,26.70,G
Aliquot_Num,03/09/2020,01:05:00,0,G
FlowVolume,03/09/2020,01:05:00,0.00,G
PT Level,03/09/2020,01:10:00,3.44,G
Flow_cfs,03/09/2020,01:10:00,26.40,G
Aliquot_Num,03/09/2020,01:10:00,0,G
FlowVolume,03/09/2020,01:10:00,0.00,G
PT Level,03/09/2020,01:15:00,3.46,G
Flow_cfs,03/09/2020,01:15:00,26.60,G
Aliquot_Num,03/09/2020,01:15:00,0,G
FlowVolume,03/09/2020,01:15:00,0.00,G
PT Level,03/09/2020,01:20:00,3.45,G
Aliquot_Num,03/09/2020,01:20:00,0,G
Flow_cfs,03/09/2020,01:20:00,26.50,G
FlowVolume,03/09/2020,01:20:00,0.00,G
PT Level,03/09/2020,01:25:00,3.44,G
Flow_cfs,03/09/2020,01:25:00,26.40,G
Aliquot_Num,03/09/2020,01:25:00,0,G
FlowVolume,03/09/2020,01:25:00,0.00,G
PT Level,03/09/2020,01:30:00,3.45,G
Flow_cfs,03/09/2020,01:30:00,26.50,G
Aliquot_Num,03/09/2020,01:30:00,0,G
FlowVolume,03/09/2020,01:30:00,0.00,G
PT Level,03/09/2020,01:35:00,3.45,G
Aliquot_Num,03/09/2020,01:35:00,0,G
Flow_cfs,03/09/2020,01:35:00,26.50,G
FlowVolume,03/09/2020,01:35:00,0.00,G
PT Level,03/09/2020,01:40:00,3.45,G
Flow_cfs,03/09/2020,01:40:00,26.50,G
Aliquot_Num,03/09/2020,01:40:00,0,G
FlowVolume,03/09/2020,01:40:00,0.00,G
PT Level,03/09/2020,01:45:00,3.47,G
Flow_cfs,03/09/2020,01:45:00,26.70,G
Aliquot_Num,03/09/2020,01:45:00,0,G
FlowVolume,03/09/2020,01:45:00,0.00,G
PT Level,03/09/2020,01:50:00,3.47,G
Aliquot_Num,03/09/2020,01:50:00,0,G
Flow_cfs,03/09/2020,01:50:00,26.70,G
FlowVolume,03/09/2020,01:50:00,0.00,G
PT Level,03/09/2020,01:55:00,3.47,G
Flow_cfs,03/09/2020,01:55:00,26.70,G
Aliquot_Num,03/09/2020,01:55:00,0,G
FlowVolume,03/09/2020,01:55:00,0.00,G
PT Level,03/09/2020,02:00:00,3.46,G
Flow_cfs,03/09/2020,02:00:00,26.60,G
Aliquot_Num,03/09/2020,02:00:00,0,G
FlowVolume,03/09/2020,02:00:00,0.00,G
PT Level,03/09/2020,02:05:00,3.47,G
Flow_cfs,03/09/2020,02:05:00,26.70,G
Aliquot_Num,03/09/2020,02:05:00,0,G
FlowVolume,03/09/2020,02:05:00,0.00,G
PT Level,03/09/2020,02:10:00,3.48,G
Aliquot_Num,03/09/2020,02:10:00,0,G
Flow_cfs,03/09/2020,02:10:00,26.80,G
FlowVolume,03/09/2020,02:10:00,0.00,G
PT Level,03/09/2020,02:15:00,3.47,G
Flow_cfs,03/09/2020,02:15:00,26.70,G
Aliquot_Num,03/09/2020,02:15:00,0,G
FlowVolume,03/09/2020,02:15:00,0.00,G
PT Level,03/09/2020,02:20:00,3.49,G
Flow_cfs,03/09/2020,02:20:00,26.90,G
Aliquot_Num,03/09/2020,02:20:00,0,G
FlowVolume,03/09/2020,02:20:00,0.00,G
PT Level,03/09/2020,02:25:00,3.48,G
Aliquot_Num,03/09/2020,02:25:00,0,G
Flow_cfs,03/09/2020,02:25:00,26.80,G
FlowVolume,03/09/2020,02:25:00,0.00,G
PT Level,03/09/2020,02:30:00,3.46,G
Flow_cfs,03/09/2020,02:30:00,26.60,G
Aliquot_Num,03/09/2020,02:30:00,0,G
FlowVolume,03/09/2020,02:30:00,0.00,G
PT Level,03/09/2020,02:35:00,3.47,G
Flow_cfs,03/09/2020,02:35:00,26.70,G
Aliquot_Num,03/09/2020,02:35:00,0,G
FlowVolume,03/09/2020,02:35:00,0.00,G
PT Level,03/09/2020,02:40:00,3.47,G
Flow_cfs,03/09/2020,02:40:00,26.70,G
Aliquot_Num,03/09/2020,02:40:00,0,G
FlowVolume,03/09/2020,02:40:00,0.00,G
PT Level,03/09/2020,02:45:00,3.47,G
Flow_cfs,03/09/2020,02:45:00,26.70,G
Aliquot_Num,03/09/2020,02:45:00,0,G
FlowVolume,03/09/2020,02:45:00,0.00,G
PT Level,03/09/2020,02:50:00,3.46,G
Flow_cfs,03/09/2020,02:50:00,26.60,G
Aliquot_Num,03/09/2020,02:50:00,0,G
FlowVolume,03/09/2020,02:50:00,0.00,G
PT Level,03/09/2020,02:55:00,3.47,G
Flow_cfs,03/09/2020,02:55:00,26.70,G
Aliquot_Num,03/09/2020,02:55:00,0,G
FlowVolume,03/09/2020,02:55:00,0.00,G
PT Level,03/09/2020,03:00:00,3.46,G
Flow_cfs,03/09/2020,03:00:00,26.60,G
Aliquot_Num,03/09/2020,03:00:00,0,G
FlowVolume,03/09/2020,03:00:00,0.00,G
PT Level,03/09/2020,03:05:00,3.46,G
Flow_cfs,03/09/2020,03:05:00,26.60,G
Aliquot_Num,03/09/2020,03:05:00,0,G
FlowVolume,03/09/2020,03:05:00,0.00,G
PT Level,03/09/2020,03:10:00,3.47,G
Flow_cfs,03/09/2020,03:10:00,26.70,G
Aliquot_Num,03/09/2020,03:10:00,0,G
FlowVolume,03/09/2020,03:10:00,0.00,G
PT Level,03/09/2020,03:15:00,3.47,G
Flow_cfs,03/09/2020,03:15:00,26.70,G
Aliquot_Num,03/09/2020,03:15:00,0,G
FlowVolume,03/09/2020,03:15:00,0.00,G
PT Level,03/09/2020,03:20:00,3.48,G
Flow_cfs,03/09/2020,03:20:00,26.80,G
Aliquot_Num,03/09/2020,03:20:00,0,G
FlowVolume,03/09/2020,03:20:00,0.00,G
PT Level,03/09/2020,03:25:00,3.47,G
Flow_cfs,03/09/2020,03:25:00,26.70,G
Aliquot_Num,03/09/2020,03:25:00,0,G
FlowVolume,03/09/2020,03:25:00,0.00,G
PT Level,03/09/2020,03:30:00,3.45,G
Flow_cfs,03/09/2020,03:30:00,26.50,G
